# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      13 3.540e-07 4.550e-07 4.009e-07 2.359e-08
      16 4.310e-07 5.360e-07 4.798e-07 2.445e-08
      20 5.400e-07 6.850e-07 6.101e-07 3.435e-08
      25 6.800e-07 8.260e-07 7.523e-07 3.539e-08
      32 8.950e-07 1.066e-06 9.774e-07 4.080e-08
      40 1.164e-06 1.373e-06 1.263e-06 5.148e-08
      50 1.513e-06 1.774e-06 1.629e-06 5.984e-08
      63 1.981e-06 2.247e-06 2.108e-06 6.250e-08
      79 2.585e-06 2.877e-06 2.726e-06 7.047e-08
     100 3.427e-06 3.761e-06 3.583e-06 7.869e-08
     126 4.513e-06 4.891e-06 4.693e-06 9.202e-08
     158 5.899e-06 6.326e-06 6.112e-06 1.016e-07
     200 7.795e-06 8.292e-06 8.043e-06 1.206e-07
     251 1.024e-05 1.082e-05 1.052e-05 1.388e-07
     316 1.346e-05 1.409e-05 1.377e-05 1.516e-07
     398 1.764e-05 1.840e-05 1.802e-05 1.733e-07
     501 2.324e-05 2.407e-05 2.363e-05 1.942e-07
     631 3.033e-05 3.137e-05 3.081e-05 2.407e-07
     794 3.953e-05 4.072e-05 4.009e-05 2.764e-07
    1000 5.157e-05 5.294e-05 5.222e-05 3.225e-07
    1259 6.692e-05 6.841e-05 6.767e-05 3.434e-07
    1585 8.673e-05 8.856e-05 8.762e-05 4.233e-07
    1995 1.127e-04 1.148e-04 1.137e-04 4.896e-07
    2512 1.454e-04 1.481e-04 1.468e-04 5.974e-07
    3162 1.874e-04 1.910e-04 1.895e-04 7.403e-07
    3981 2.435e-04 2.474e-04 2.452e-04 8.195e-07
    5012 3.140e-04 3.268e-04 3.175e-04 3.592e-06
    6310 4.045e-04 4.187e-04 4.090e-04 3.845e-06
    7943 5.134e-04 5.299e-04 5.260e-04 1.885e-06
   10000 6.751e-04 6.836e-04 6.792e-04 1.571e-06
   12589 8.604e-04 8.841e-04 8.795e-04 2.437e-06
   15849 1.122e-03 1.145e-03 1.138e-03 3.526e-06
   19953 1.427e-03 1.503e-03 1.459e-03 1.923e-05
   25119 1.881e-03 1.908e-03 1.899e-03 3.982e-06
   31623 2.447e-03 2.463e-03 2.456e-03 3.339e-06
   39811 3.142e-03 3.174e-03 3.165e-03 5.030e-06
   50119 4.052e-03 4.097e-03 4.084e-03 8.559e-06
   63096 5.244e-03 5.295e-03 5.280e-03 1.053e-05
   79433 5.698e-03 6.824e-03 6.170e-03 5.353e-04
  100000 7.371e-03 7.396e-03 7.383e-03 6.123e-06
  125893 9.566e-03 9.593e-03 9.577e-03 6.033e-06
  158489 1.239e-02 1.242e-02 1.240e-02 6.347e-06
  199526 1.605e-02 1.921e-02 1.801e-02 1.438e-03
  251189 2.422e-02 2.493e-02 2.470e-02 3.053e-04
  316228 3.134e-02 3.225e-02 3.213e-02 2.675e-04
  398107 4.054e-02 4.169e-02 4.162e-02 1.662e-04
  501187 5.246e-02 5.396e-02 5.385e-02 2.616e-04
  630957 6.766e-02 6.962e-02 6.915e-02 7.453e-04
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.310e-07 3.120e-07 2.633e-07 2.561e-08
      13 2.600e-07 3.440e-07 2.927e-07 2.639e-08
      16 2.930e-07 3.350e-07 3.152e-07 1.142e-08
      20 3.590e-07 4.510e-07 3.953e-07 2.668e-08
      25 4.680e-07 5.270e-07 4.979e-07 1.485e-08
      32 6.550e-07 7.640e-07 6.986e-07 2.555e-08
      40 9.790e-07 1.097e-06 1.036e-06 2.907e-08
      50 1.385e-06 1.520e-06 1.447e-06 3.350e-08
      63 2.028e-06 2.229e-06 2.123e-06 4.520e-08
      79 3.046e-06 3.337e-06 3.183e-06 7.124e-08
     100 4.678e-06 5.135e-06 4.907e-06 1.107e-07
     126 7.265e-06 7.950e-06 7.587e-06 1.613e-07
     158 1.121e-05 1.223e-05 1.170e-05 2.337e-07
     200 1.781e-05 1.925e-05 1.849e-05 3.318e-07
     251 2.788e-05 2.990e-05 2.883e-05 4.815e-07
     316 4.451e-05 4.755e-05 4.600e-05 7.198e-07
     398 7.059e-05 7.505e-05 7.268e-05 1.064e-06
     501 1.115e-04 1.181e-04 1.147e-04 1.616e-06
     631 1.765e-04 1.870e-04 1.816e-04 2.556e-06
     794 2.795e-04 2.949e-04 2.872e-04 3.807e-06
    1000 4.438e-04 4.667e-04 4.548e-04 5.630e-06
    1259 7.037e-04 7.379e-04 7.203e-04 8.435e-06
    1585 1.119e-03 1.168e-03 1.146e-03 1.226e-05
    1995 1.778e-03 1.848e-03 1.817e-03 1.736e-05
    2512 2.806e-03 2.925e-03 2.879e-03 2.657e-05
    3162 4.489e-03 4.621e-03 4.560e-03 3.174e-05
    3981 7.054e-03 7.306e-03 7.206e-03 5.368e-05
    5012 1.122e-02 1.157e-02 1.144e-02 7.072e-05
    6310 1.786e-02 1.833e-02 1.814e-02 1.027e-04
    7943 2.826e-02 2.902e-02 2.874e-02 1.658e-04
   10000 4.463e-02 4.592e-02 4.552e-02 2.551e-04
   12589 6.048e-02 7.276e-02 6.465e-02 5.392e-03
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.290e-07 2.980e-07 2.565e-07 1.939e-08
      13 2.930e-07 3.280e-07 3.123e-07 8.244e-09
      16 3.810e-07 4.510e-07 4.089e-07 1.902e-08
      20 5.170e-07 5.860e-07 5.453e-07 1.787e-08
      25 7.210e-07 7.660e-07 7.464e-07 9.933e-09
      32 1.098e-06 1.178e-06 1.133e-06 1.984e-08
      40 1.620e-06 1.721e-06 1.673e-06 2.100e-08
      50 2.424e-06 2.559e-06 2.505e-06 2.690e-08
      63 3.703e-06 3.930e-06 3.853e-06 4.974e-08
      79 5.731e-06 6.047e-06 5.930e-06 7.561e-08
     100 9.061e-06 9.527e-06 9.343e-06 1.149e-07
     126 1.428e-05 1.494e-05 1.466e-05 1.589e-07
     158 2.235e-05 2.330e-05 2.287e-05 2.250e-07
     200 3.585e-05 3.704e-05 3.648e-05 2.879e-07
     251 5.651e-05 5.808e-05 5.732e-05 3.619e-07
     316 8.972e-05 9.171e-05 9.073e-05 4.508e-07
     398 1.428e-04 1.453e-04 1.440e-04 5.678e-07
     501 2.273e-04 2.302e-04 2.287e-04 6.951e-07
     631 3.618e-04 3.652e-04 3.635e-04 8.349e-07
     794 5.750e-04 5.789e-04 5.768e-04 9.095e-07
    1000 1.093e-03 1.098e-03 1.095e-03 1.325e-06
    1259 1.737e-03 1.743e-03 1.740e-03 1.384e-06
    1585 2.761e-03 2.768e-03 2.764e-03 1.598e-06
    1995 4.384e-03 4.391e-03 4.387e-03 1.688e-06
    2512 6.781e-03 6.972e-03 6.964e-03 2.478e-05
    3162 1.105e-02 1.106e-02 1.106e-02 2.091e-06
    3981 1.469e-02 1.755e-02 1.706e-02 1.055e-03
    5012 2.188e-02 2.785e-02 2.734e-02 1.413e-03
    6310 3.699e-02 4.419e-02 4.406e-02 5.697e-04
    7943 6.816e-02 7.009e-02 6.982e-02 5.102e-04
#------- --------- --------- --------- ---------


